District,Building name,Last date of visit of the case(s),Related cases
Kowloon City,"Ka Lim Lau, Ka Wai Chuen",19/07/2022,
Kowloon City,"Block D, Fair Way Garden",19/07/2022,
Kowloon City,Forum Court,19/07/2022,
Kowloon City,"Block B, Full Wing Building",19/07/2022,
Kowloon City,Po Kwong Building,19/07/2022,
Kowloon City,Bowie Mansion,19/07/2022,
Kowloon City,"Garve Court, Perth Garden",19/07/2022,
Kowloon City,Yee King Building,19/07/2022,
Kowloon City,22A Ming Lun Street,19/07/2022,
Kowloon City,"Block B, Nairn House",19/07/2022,
Kowloon City,"Tower 4, Harbour Place",19/07/2022,
Kowloon City,Wui Chuen Building,19/07/2022,
Kowloon City,15 Homantin Hill,19/07/2022,
Kowloon City,Broadway Towers,19/07/2022,
Kowloon City,Faber Garden,19/07/2022,
Kowloon City,Royal Garden,19/07/2022,
Kowloon City,Bellevue Heights,19/07/2022,
Kowloon City,"Block 4, Beverly Villas",19/07/2022,
Kowloon City,"Block D, Phoenix Court",19/07/2022,
Kowloon City,Fook Lung Garden,19/07/2022,
Kowloon City,14A Sau Chuk Yuen Road,19/07/2022,
Kowloon City,Marple Court,19/07/2022,
Kowloon City,65 Tam Kung Road,19/07/2022,
Kowloon City,Hoover Court,19/07/2022,
Kowloon City,Lucky Court,19/07/2022,
Kowloon City,Stephen Mansion,19/07/2022,
Kowloon City,"Student Halls of Residence (Homantin), The Hong Kong Polytechnic University",19/07/2022,
Kowloon City,19 Hung Kwong Street,19/07/2022,
Kowloon City,14 Hung Wan Street,19/07/2022,
Kowloon City,"Block 1, Palm Mansions, Whampoa Garden",19/07/2022,
Kowloon City,"Block 3, Lily Mansions, Whampoa Garden",19/07/2022,
Kowloon City,"Block 10, Bauhinia Mansions, Whampoa Garden",19/07/2022,
Kowloon City,"Block 6, Bamboo Mansions, Whampoa Garden",19/07/2022,
Kowloon City,"Block 2, Cherry Mansions, Whampoa Garden",19/07/2022,
Kowloon City,"Block 7, Cherry Mansions, Whampoa Garden",19/07/2022,
Kowloon City,"Block 8, Whampoa Garden Cherry Mansions",19/07/2022,
Kowloon City,25 Lung Kong Road,19/07/2022,
Kowloon City,"Tower 5, Vibe Centro",19/07/2022,
Kowloon City,"Tower 3, Oasis Kai Tak",18/07/2022,
Kowloon City,Chung Nam Mansion,18/07/2022,
Kowloon City,2 Ho Tung Road,18/07/2022,
Kowloon City,"Block C, Hang Chien Court, Wyler Gardens",18/07/2022,
Kowloon City,"Block H, Chong Chien Court, Wyler Gardens",18/07/2022,
Kowloon City,"Tower 5, Sky Tower",18/07/2022,
Kowloon City,"Block 37, Celestial Heights",18/07/2022,
Kowloon City,Yau Lung Building,18/07/2022,
Kowloon City,Ka Bo Mansion,18/07/2022,
Kowloon City,"Block C, Grandview Garden",18/07/2022,
Kowloon City,The Palace,18/07/2022,
Kowloon City,"On Ping Building, On Wo Yuen",18/07/2022,
Kowloon City,On Tai Mansion,18/07/2022,
Kowloon City,Fu Tao Building,18/07/2022,
Kowloon City,Star Ruby,18/07/2022,
Kowloon City,Sung Chi Building,18/07/2022,
Kowloon City,"Sheung Lok House, Sheung Lok Estate",18/07/2022,
Kowloon City,Tak Lee Court,18/07/2022,
Kowloon City,"Block C, Yee On Court",18/07/2022,
Kowloon City,Merry Villa,18/07/2022,
Kowloon City,King Tak Terrace,18/07/2022,
Kowloon City,Yat Hong Court,18/07/2022,
Kowloon City,"Lok Seen Lau, Lok Man Sun Chuen",18/07/2022,
Kowloon City,In House,18/07/2022,
Kowloon City,"Tower 1A, Upper East",18/07/2022,
Kowloon City,Fok Lin Building,18/07/2022,
Kowloon City,Maidshine Court,18/07/2022,
Kowloon City,St. George Apartments,18/07/2022,
Kowloon City,85 Tam Kung Road,18/07/2022,
Kowloon City,Tat Tak Building,18/07/2022,
Kowloon City,Kam Wah House,18/07/2022,
Kowloon City,Shuet Kan Mansion,18/07/2022,
Kowloon City,Lederle Garden,18/07/2022,
Kowloon City,410 Ma Tau Wai Road,18/07/2022,
Kowloon City,"Rose House, Ma Tau Wai Estate",18/07/2022,
Kowloon City,23 Ying Yeung Street,18/07/2022,
Kowloon City,25 Ying Yeung Street,18/07/2022,
Kowloon City,"Kai Fu Building, Whampoa Estate",18/07/2022,
Kowloon City,"Block 1, Bauhinia Mansions, Whampoa Garden",18/07/2022,
Kowloon City,"Block 4, Juniper Mansions, Whampoa Garden",18/07/2022,
Kowloon City,"Block 2, Oak Mansions, Whampoa Garden",18/07/2022,
Kowloon City,"Block 4, Oak Mansions, Whampoa Garden",18/07/2022,
Kowloon City,"Block 5, Oak Mansions, Whampoa Garden",18/07/2022,
Kowloon City,Lung Wah Building,18/07/2022,
Kowloon City,"Man Yin House, Chun Man Court",17/07/2022,
Kowloon City,"Man Ming House, Chun Man Court",17/07/2022,
Kowloon City,"Man Hei House, Chun Man Court",17/07/2022,
Kowloon City,"Man Hung House, Chun Man Court",17/07/2022,
Kowloon City,Fessenden Court,17/07/2022,
Kowloon City,"Block A, Hang Chien Court, Wyler Gardens",17/07/2022,
Kowloon City,"Ko Fai House, Kwun Fai Court",17/07/2022,
Kowloon City,28 Celestial Heights,17/07/2022,
Kowloon City,37 Celesital Heights,17/07/2022,
Kowloon City,Loyal Mansion,17/07/2022,
Kowloon City,My Place,17/07/2022,
Kowloon City,Wang Fung Building,17/07/2022,
Kowloon City,Kin Fung Court,17/07/2022,
Kowloon City,Chung Shun Mansion,17/07/2022,
Kowloon City,"Phase 3, Harrison Court",17/07/2022,
Kowloon City,Harvest Court,17/07/2022,
Kowloon City,Sing On Building,17/07/2022,
Kowloon City,Tong Lu Mansion,17/07/2022,
Kowloon City,Nice Building,17/07/2022,
Kowloon City,"Block 3, Cascades",17/07/2022,
Kowloon City,"Block 4, Jubilant Place",17/07/2022,
Kowloon City,"Tower 15A, Laguna Verde",17/07/2022,
Kowloon City,"Tower 19, Laguna Verde",17/07/2022,
Kowloon City,238 Chatham Road North,17/07/2022,
Kowloon City,"Tower H3, De Novo",17/07/2022,
Kowloon City,"Tower 1, One Beacon Hill",17/07/2022,
Kowloon City,"Block 8, Beverly Villas",17/07/2022,
Kowloon City,Belfran Mansion,17/07/2022,
Kowloon City,"Hung Sing House, Hung Hom Estate",17/07/2022,
Kowloon City,"Hung Yan House, Hung Hom Estate",17/07/2022,
Kowloon City,80 Maidstone Road,17/07/2022,
Kowloon City,Tam Kung Mansion,17/07/2022,
Kowloon City,"Tower 3, The Astoria",17/07/2022,
Kowloon City,Wan Tin Building,17/07/2022,
Kowloon City,"Block 11, Bauhinia Mansions, Whampoa Garden",17/07/2022,
Kowloon City,"Block 18, Cherry Mansions, Whampoa Garden",17/07/2022,
Kowloon City,"Block 5, Cherry Mansions, Whampoa Garden",17/07/2022,
Kowloon City,"Block 7, Oak Mansions, Whampoa Garden",17/07/2022,
Kowloon City,Harbour Plaza 8 Degrees,16/07/2022,
Kowloon City,"Tower 1, Oasis Kai Tak",16/07/2022,
Kowloon City,"Mansion A, Oasis Kai Tak",16/07/2022,
Kowloon City,Classic Mansion,16/07/2022,
Kowloon City,"Kwun Wing House, Kwun Tak Court",16/07/2022,
Kowloon City,69 Pak Tai Street,16/07/2022,
Kowloon City,23 Celestial Heights,16/07/2022,
Kowloon City,The Vantage,16/07/2022,
Kowloon City,57 Kai Tak Road,16/07/2022,
Kowloon City,Kai Fat House,16/07/2022,
Kowloon City,Glen Haven,16/07/2022,
Kowloon City,"Block G, Honour Building",16/07/2022,
Kowloon City,"Block A, Lux Theatre Building",16/07/2022,
Kowloon City,"Block 1, Balwin Court",16/07/2022,
Kowloon City,Sung Oi Building,16/07/2022,
Kowloon City,Tivoli Court,16/07/2022,
Kowloon City,"Lok Kwan Lau, Lok Man Sun Chuen",16/07/2022,
Kowloon City,Hai Kwang House,16/07/2022,
Kowloon City,"Tower 2, Harbourfront Landmark",16/07/2022,
Kowloon City,"Tower 18, Laguna Verde",16/07/2022,
Kowloon City,"Tower 7, Laguna Verde",16/07/2022,
Kowloon City,"Tower 15, One Beacon Hill",16/07/2022,
Kowloon City,"Tower 9, Beverly Villas",16/07/2022,
Kowloon City,Lucky House,16/07/2022,
Kowloon City,42 Maidstone Road,16/07/2022,
Kowloon City,"Tower 6, Grand Waterfront",16/07/2022,
Kowloon City,"Block 2, Mandarin Court",16/07/2022,
Kowloon City,"Hung Wan Court, United Building",16/07/2022,
Kowloon City,40A Nga Tsin Long Road,16/07/2022,
Kowloon City,81 Tam Kung Road,16/07/2022,
Kowloon City,191 Ma Tau Wai Road,16/07/2022,
Kowloon City,286 Ma Tau Wai Road,16/07/2022,
Kowloon City,"Ki Fu Building, Whampoa Estate",16/07/2022,
Kowloon City,"Block 1, Lily Mansions, Whampoa Garden",16/07/2022,
Kowloon City,"Block 13, Bauhinia Mansions, Whampoa Garden",16/07/2022,
Kowloon City,"Block 3, Banyan Mansions, Whampoa Garden",16/07/2022,
Kowloon City,5-9 Kowloon City Road,15/07/2022,
Kowloon City,8 Lasalle,15/07/2022,
Kowloon City,"Block 1, Royal Peninsula",15/07/2022,
Kowloon City,"Tower 2, The Zumurud",15/07/2022,
Kowloon City,"Block D, Luso Apartments",15/07/2022,
Kowloon City,"Tower 2, One Kai Tak",15/07/2022,
Kowloon City,The Montebello,15/07/2022,
Kowloon City,Greenfield Terrace,15/07/2022,
Kowloon City,124 To Kwa Wan Road,15/07/2022,
Kowloon City,On Wo Building,15/07/2022,
Kowloon City,Sheung Shing Court,15/07/2022,
Kowloon City,"Hong Man House, Oi Man Estate",15/07/2022,
Kowloon City,Lok Do Building,15/07/2022,
Kowloon City,"Block 2, Cascades",15/07/2022,
Kowloon City,"Tower 6, Harbour Place",15/07/2022,
Kowloon City,"Tower 1C, Upper East",15/07/2022,
Kowloon City,"Tower 7, Mantin Heights",15/07/2022,
Kowloon City,"Block C, I-Feng Mansions",15/07/2022,
Kowloon City,"Hung Lin Court, Hunghom Bay Centre",15/07/2022,
Kowloon City,"Block 2, Hunghom Gardens",15/07/2022,
Kowloon City,Merlin Court,15/07/2022,
Kowloon City,"Tower 3, Grand Waterfront",15/07/2022,
Kowloon City,"Tower 5, Grand Waterfront",15/07/2022,
Kowloon City,104 Wuhu Street,15/07/2022,
Kowloon City,"Tower 5, One Mayfair",15/07/2022,
Kowloon City,Kam Wo Mansion,15/07/2022,
Kowloon City,Golden Mansion,15/07/2022,
Kowloon City,Ngan Hon Building,15/07/2022,
Kowloon City,29 Cheung Ning Street,15/07/2022,
Kowloon City,Cheong Lok Mansion,15/07/2022,
Kowloon City,Grand Villa,15/07/2022,
Kowloon City,"Tower 2, The Astrid",15/07/2022,
Kowloon City,183 Ma Tau Wai Road,15/07/2022,
Kowloon City,The City Culture,15/07/2022,
Kowloon City,"Block 6, Willow Mansions, Whampoa Garden",15/07/2022,
Kowloon City,"Block 5, Juniper Mansions, Whampoa Garden",15/07/2022,
Kowloon City,"Block 3, Bamboo Mansions, Whampoa Garden",15/07/2022,
Kowloon City,Cypress Garden,15/07/2022,
Kowloon City,"Tower 2B, Vibe Centro",15/07/2022,
Kowloon City,Dragon Court,15/07/2022,
Kowloon City,Dunbar Place,14/07/2022,
Kowloon City,Bulkeley Building,14/07/2022,
Kowloon City,Pak Tai Mansion,14/07/2022,
Kowloon City,"Tower 2B, K Summit",14/07/2022,
Kowloon City,On Ping Building,14/07/2022,
Kowloon City,"Ka Shing Lau, Ka Wai Chuen",14/07/2022,
Kowloon City,"Block C, Fair Way Garden",14/07/2022,
Kowloon City,Sung Lai Building,14/07/2022,
Kowloon City,Comfort Court,14/07/2022,
Kowloon City,"Block B, Yee On Court",14/07/2022,
Kowloon City,Shing Tak Mansion,14/07/2022,
Kowloon City,Chiap Thong Building,14/07/2022,
Kowloon City,Sunpeace Court,14/07/2022,
Kowloon City,Wing Lam Building,14/07/2022,
Kowloon City,"Lok Chee Lau, Lok Man Sun Chuen",14/07/2022,
Kowloon City,Gillies Mansion,14/07/2022,
Kowloon City,9 Muk Hung Street,14/07/2022,
Kowloon City,"Tower 1B, Upper East",14/07/2022,
Kowloon City,Kai Hing Building,14/07/2022,
Kowloon City,Merry Court,14/07/2022,
Kowloon City,Beverley Heights,14/07/2022,
Kowloon City,Fook Yee Garden,14/07/2022,
Kowloon City,Sau Lai Garden,14/07/2022,
Kowloon City,"Highburgh House, Hunghom Bay Centre",14/07/2022,
Kowloon City,"Hung Ming Court, Hunghom Bay Centre",14/07/2022,
Kowloon City,1 Hing Yan Street,14/07/2022,
Kowloon City,67 Tam Kung Road,14/07/2022,
Kowloon City,Goldtone Court,14/07/2022,
Kowloon City,"Sir Gordon Wu Wing, Student Halls Of Residence, The Hong Kong Polytechnic University",14/07/2022,
Kowloon City,6 Ying Yeung Street,14/07/2022,
Kowloon City,"Block A, Whampoa Building",14/07/2022,
Kowloon City,"Ho Wing Building, Whampoa Estate",14/07/2022,
Kowloon City,"Block 10, Lily Mansions, Whampoa Garden",14/07/2022,
Kowloon City,"Block 4, Cotton Tree Mansions, Whampoa Garden",14/07/2022,
Kowloon City,"Block 16, Cherry Mansions, Whampoa Garden",14/07/2022,
Kowloon City,"Tower 2A, Vibe Centro",14/07/2022,
Kowloon City,J17,13/07/2022,
Kowloon City,Earl Gardens,13/07/2022,
Kowloon City,Clifford Mansion,13/07/2022,
Kowloon City,House of Kadoorie Avenue,13/07/2022,
Kowloon City,27 To Kwa Wan Road,13/07/2022,
Kowloon City,"Tower 7, Ultima",13/07/2022,
Kowloon City,"On Lung Building, On Wo Yuen",13/07/2022,
Kowloon City,"Ka Lei Lau, Ka Wai Chuen",13/07/2022,
Kowloon City,House of Braga Circuit,13/07/2022,
Kowloon City,1 Devon Road,13/07/2022,
Kowloon City,"Block G5, Tang Court",13/07/2022,
Kowloon City,Man Yuen,13/07/2022,
Kowloon City,Lilac Court,13/07/2022,
Kowloon City,22 Ming Lun Street,13/07/2022,
Kowloon City,Ming Yuen Court,13/07/2022,
Kowloon City,"Tower 23, Laguna Verde",13/07/2022,
Kowloon City,"Tower 9, Laguna Verde",13/07/2022,
Kowloon City,6 Yin On Street,13/07/2022,
Kowloon City,Boundary Court,13/07/2022,
Kowloon City,21 Fuk Lo Tsun Road,13/07/2022,
Kowloon City,Hung Hum Mansion,13/07/2022,
Kowloon City,"Hung King Court, Hunghom Bay Centre",13/07/2022,
Kowloon City,69 Maidstone Road,13/07/2022,
Kowloon City,Bee Sing Mansion,13/07/2022,
Kowloon City,124 Tam Kung Road,13/07/2022,
Kowloon City,Green Garden,13/07/2022,
Kowloon City,Vision Court,13/07/2022,
Kowloon City,Pearl Court,13/07/2022,
Kowloon City,"Block 4, Palm Mansions, Whampoa Garden",13/07/2022,
Kowloon City,"Block 5, Willow Mansions, Whampoa Garden",13/07/2022,
Kowloon City,"Block 13, Cherry Mansions, Whampoa Garden",13/07/2022,
Kowloon City,"Block 6, Oak Mansions, Whampoa Garden",13/07/2022,
Kowloon City,186 Kowloon City Road,12/07/2022,
Kowloon City,"Block J, Wei Chien Court, Wyler Gardens",12/07/2022,
Kowloon City,Wai Yick Building,12/07/2022,
Kowloon City,Scenery Mansion,12/07/2022,
Kowloon City,Bou Lee Building,12/07/2022,
Kowloon City,Albion Gardens,12/07/2022,
Kowloon City,The Mandarina,12/07/2022,
Kowloon City,Ming Garden,12/07/2022,
Kowloon City,"Block B, Moonbeam Terrace",12/07/2022,
Kowloon City,Moonbeam Terrace,12/07/2022,
Kowloon City,Wing Fung Mansion,12/07/2022,
Kowloon City,"Tower 11, Laguna Verde",12/07/2022,
Kowloon City,"Tower 4, Laguna Verde",12/07/2022,
Kowloon City,23 Dunbar Road,12/07/2022,
Kowloon City,Fortune Court,12/07/2022,
Kowloon City,Lai Sze Court,12/07/2022,
Kowloon City,"Block 4, Willow Mansions, Whampoa Garden",12/07/2022,
Kowloon City,"Tower 1, Homantin Hillside",11/07/2022,
Kowloon City,38 Nam Kok Road,11/07/2022,
Kowloon City,"Tower 1, The Zumurud",11/07/2022,
Kowloon City,Kar Shun Building,11/07/2022,
Kowloon City,432 Prince Edward Road West,11/07/2022,
Kowloon City,Po Sing Mansion,11/07/2022,
Kowloon City,"Block 1, Majestic Park",11/07/2022,
Kowloon City,16 San Wai Street,11/07/2022,
Kowloon City,Ming Wah Court,11/07/2022,
Kowloon City,Bakerview,11/07/2022,
Kowloon City,27 Wing Yiu Street,11/07/2022,
Kowloon City,"Tower 10, Mantin Heights",11/07/2022,
Kowloon City,"Tower 6, Mantin Heights",11/07/2022,
Kowloon City,"Block A, Police Inspectorate Quarters",11/07/2022,
Kowloon City,"Block A, Phoenix Court",11/07/2022,
Kowloon City,"Block E, Phoenix Court",11/07/2022,
Kowloon City,House on Beacon Hill Road,11/07/2022,
Kowloon City,"Hung Fai House, Hung Hom Estate",11/07/2022,
Kowloon City,Jade Garden,11/07/2022,
Kowloon City,87 Tam Kung Road,11/07/2022,
Kowloon City,"Magnolia House, Ma Tau Wai Estate",11/07/2022,
Kowloon City,24 Lun Cheung Street,11/07/2022,
Kowloon City,"On Wing Building, Whampoa Estate",11/07/2022,
Kowloon City,"Block 12, Bauhinia Mansions, Whampoa Garden",11/07/2022,
Kowloon City,"Block 2, Banyan Mansions, Whampoa Garden",11/07/2022,
Kowloon City,"Block 4, Cherry Mansions, Whampoa Garden",11/07/2022,
Kowloon City,Lung Teck Mansion,11/07/2022,
Kwai Tsing,Po Kai Mansion,24/07/2022,
Kwai Tsing,"Fu Kwok House, Tai Wo Hau Estate",24/07/2022,
Kwai Tsing,"Fu Wing House, Tai Wo Hau Estate",24/07/2022,
Kwai Tsing,"Fu Yin House, Tai Wo Hau Estate",24/07/2022,
Kwai Tsing,"Fu Ching House, Tai Wo Hau Estate",24/07/2022,
Kwai Tsing,"Hong Yam House, On Yam Estate",24/07/2022,
Kwai Tsing,"Shing Yam House, On Yam Estate",24/07/2022,
Kwai Tsing,"Cheung Yam House, On Yam Estate",24/07/2022,
Kwai Tsing,"Fung Yam House, On Yam Estate",24/07/2022,
Kwai Tsing,"Block 3, Tivoli Garden",24/07/2022,
Kwai Tsing,"Block 4, Tivoli Garden",24/07/2022,
Kwai Tsing,"Long Fung House, Ning Fung Court",24/07/2022,
Kwai Tsing,"Lai Hung House, Yuet Lai Court",24/07/2022,
Kwai Tsing,Sing Shing Building,24/07/2022,
Kwai Tsing,"Block C, New Kwai Fong Gardens",24/07/2022,
Kwai Tsing,"Block D, New Kwai Fong Gardens",24/07/2022,
Kwai Tsing,Cheong Hung Mansion,24/07/2022,
Kwai Tsing,"Block 1, Mount Haven",24/07/2022,
Kwai Tsing,"Block 3, Mount Haven",24/07/2022,
Kwai Tsing,"Block A, Happy Villa",24/07/2022,
Kwai Tsing,"Block 1, Highland Park",24/07/2022,
Kwai Tsing,"Block 2, Highland Park",24/07/2022,
Kwai Tsing,"Block 1, Serene Garden",24/07/2022,
Kwai Tsing,"Block 2, Serene Garden",24/07/2022,
Kwai Tsing,"Block 5, Grand Horizon",24/07/2022,
Kwai Tsing,"Block 11, Villa Esplanada",24/07/2022,
Kwai Tsing,"Block 5, Villa Esplanada",24/07/2022,
Kwai Tsing,"Block 7, Villa Esplanada",24/07/2022,
Kwai Tsing,"Block 9, Villa Esplanada",24/07/2022,
Kwai Tsing,"Tower 10, Tierra Verde",24/07/2022,
Kwai Tsing,"Tower 3, Tierra Verde",24/07/2022,
Kwai Tsing,"Block 1, Prosperity Villa",24/07/2022,
Kwai Tsing,"Shek Kai House, Shek Lei Estate",24/07/2022,
Kwai Tsing,"Shek Chun House, Shek Lei Estate",24/07/2022,
Kwai Tsing,"Shek Wai House, Shek Lei Estate",24/07/2022,
Kwai Tsing,"Shek Fu House, Shek Lei Estate",24/07/2022,
Kwai Tsing,"Shek Wing House, Shek Lei Estate",24/07/2022,
Kwai Tsing,"Shek Tai House, Shek Lei Estate",24/07/2022,
Kwai Tsing,"Shek Cheung House, Shek Lei Estate",24/07/2022,
Kwai Tsing,"Shek Hing House, Shek Lei Estate",24/07/2022,
Kwai Tsing,"Shek Yat House, Shek Lei Estate",24/07/2022,
Kwai Tsing,"Yam Hing House, Shek Yam East Estate",24/07/2022,
Kwai Tsing,"Yan Shek House, Shek Yam Estate",24/07/2022,
Kwai Tsing,"Lai Shek House, Shek Yam Estate",24/07/2022,
Kwai Tsing,"Kai Min Lau, Cho Yiu Chuen",24/07/2022,
Kwai Tsing,"Kai King Lau, Cho Yiu Chuen",24/07/2022,
Kwai Tsing,"Kai Chun Lau, Cho Yiu Chuen",24/07/2022,
Kwai Tsing,"Tower 1, Greenview Villa",24/07/2022,
Kwai Tsing,"Block 10, Mayfair Gardens",24/07/2022,
Kwai Tsing,"Tower 8, Greenfield Garden",24/07/2022,
Kwai Tsing,Tsui Yiu Court,24/07/2022,
Kwai Tsing,"Block 2, Lai King Disciplined Services Quarters",24/07/2022,
Kwai Tsing,"Block 3, Lai King Disciplined Services Quarters",24/07/2022,
Kwai Tsing,"Yat King House, Lai King Estate",24/07/2022,
Kwai Tsing,"Lai Choi House, Lai Yan Court",24/07/2022,
Kwai Tsing,"Block C, Lai Chi Kok Bay Garden",24/07/2022,
Kwai Tsing,"Wah Chi Court, Wah Yuen Chuen",24/07/2022,
Kwai Tsing,"Hei Lai House, Wah Lai Estate",24/07/2022,
Kwai Tsing,"Seung Lai House, Wah Lai Estate",24/07/2022,
Kwai Tsing,"Kwai Yue House, Kwai Chun Court",24/07/2022,
Kwai Tsing,"Block 2, Kwai Chung Plaza",24/07/2022,
Kwai Tsing,"Yuk Kwai House, Kwai Chung Estate",24/07/2022,
Kwai Tsing,"Ying Kwai House, Kwai Chung Estate",24/07/2022,
Kwai Tsing,"Chau Kwai House, Kwai Chung Estate",24/07/2022,
Kwai Tsing,"Tsz Kwai House, Kwai Chung Estate",24/07/2022,
Kwai Tsing,"Yan Kwai House, Kwai Chung Estate",24/07/2022,
Kwai Tsing,"Shing On House, Kwai Shing East Estate",24/07/2022,
Kwai Tsing,"Shing Fu House, Kwai Shing East Estate",24/07/2022,
Kwai Tsing,"Shing Keung House, Kwai Shing East Estate",24/07/2022,
Kwai Tsing,"Shing Lok House, Kwai Shing East Estate",24/07/2022,
Kwai Tsing,"Shing Hing House, Kwai Shing East Estate",24/07/2022,
Kwai Tsing,"Shing Yat House, Kwai Shing East Estate",24/07/2022,
Kwai Tsing,"Block 6, Kwai Shing West Estate",24/07/2022,
Kwai Tsing,"Block 8, Kwai Shing West Estate",24/07/2022,
Kwai Tsing,"Block 9, Kwai Shing West Estate",24/07/2022,
Kwai Tsing,Kwai Fook Building,24/07/2022,
Kwai Tsing,"Bik Tsui House, Kwai Tsui Estate",24/07/2022,
Kwai Tsing,"Luk Tsui House, Kwai Tsui Estate",24/07/2022,
Kwai Tsing,"Luen Hei House, Kwai Luen Estate",24/07/2022,
Kwai Tsing,"Luen Yuet House, Kwai Luen Estate",24/07/2022,
Kwai Tsing,"Luen Yat House, Kwai Luen Estate",24/07/2022,
Kwai Tsing,"Hing Fuk House, Kwai Hing Estate",24/07/2022,
Kwai Tsing,"Kwai Yan House, Kwai Fong Estate",24/07/2022,
Kwai Tsing,"Kwai Kin House, Kwai Fong Estate",24/07/2022,
Kwai Tsing,"Kwai Tak House, Kwai Fong Estate",24/07/2022,
Kwai Tsing,"Kwai Chi House, Kwai Fong Estate",24/07/2022,
Kwai Tsing,Kwai Wah Building,24/07/2022,
Kwai Tsing,"Block 2, Kwai Yung Court",24/07/2022,
Kwai Tsing,Kwai Dao Building,24/07/2022,
Kwai Tsing,"On Kwai House, Kwai Fuk Court",24/07/2022,
Kwai Tsing,"Lok Kwai House, Kwai Fuk Court",24/07/2022,
